Pressure,Height,Temperature,Dew_Point,Relative_Humidity,Mixing_Ratio,Wind_Direction,Wind_Speed,THTA,THTE,THTV
674,3486,5.2,-0.8,65,5.38,204,13,311.6,328.7,312.6
669,3547,4.8,-2.2,60,4.89,195,12,311.8,327.4,312.7
664,3608,4.8,-4.2,52,4.24,183,13,312.4,326.1,313.2
661,3645,4.9,-8.1,38,3.16,175,13,313,323.3,313.6
658,3683,5,-12,28,2.33,178,13,313.5,321.3,313.9
648,3807,4.6,-20.4,14,1.17,189,14,314.4,318.5,314.6
643,3871,4.6,-26.4,8,0.69,195,14,315.1,317.6,315.2
630,4037,4,-24.6,10,0.83,210,15,316.2,319.2,316.4
627,4076,3.8,-24.2,11,0.87,208,15,316.5,319.6,316.6
622,4140,3.6,-28.4,8,0.6,205,14,316.9,319.1,317
617,4206,3.3,-32.6,5,0.4,200,15,317.4,318.9,317.4
602,4405,2.6,-45.4,1,0.11,213,15,318.8,319.2,318.8
600,4432,2.4,-42.3,2,0.15,215,15,318.8,319.4,318.9
593,4527,1.6,-31.4,7,0.47,205,14,318.9,320.7,319
586,4622,0.8,-20.4,19,1.3,215,13,319.1,323.7,319.3
583,4664,0.4,-15.6,29,1.96,219,14,319.1,325.9,319.5
579,4719,0.2,-15.8,29,1.94,225,15,319.6,326.3,320
578,4733,0.2,-15.8,29,1.94,224,15,319.7,326.4,320.1
